"","item","ebay_price"
"1","Men's Shinola The Runwell Sport Chrono 48MM Watch Black Friday Special Edition",590
"2","Omega DeVille Solid 18k Yellow Gold Automatic Chronometer Men’s Watch",2200
"3","Panerai Luminor Power Reserve Pam 90 44mm Swiss Automatic Pam00090 Complete Set!",5495
"4","W231-WOMEN'S CLASSIC EBEL WATCH 2 TONE DIAMOND MARKERS STAINLESS/18K GLD XR FACE",850
"5","ORIENT STAR Semi-skeleton Automatic (Men's Watch WZ0121DK",636.26
"6","IUKIA diamond-filled dial titanium model ЅSQW035 Iadies",637.24
"7","IUKIA diamond-filled dial titanium model ЅSQW037 Iadies",727.71
"8","Seiko PRESAGE Japanese Garden SARY097",561.66
"9","CASIO PRO Trek PRW-50YFE-2AJR Radio Solar Watch",519.31
"10","ORIENT ORIENTSTAR Automatic White WZ0311DK Mens Watch",612.9
"11","Tag Heuer Link Calibre 6 Mens Watch Automatic in Mint Cond. WJF211B w Box Only",875
"12","Gianni Versace Automatic Limited Edition #153 Chrono Audemars Piguet Movement",6500
"13","Omega Speedmaster Co-Axial 324.30.38.50.06.001 Ss Gray Dial Men Self-Winding",4694.86
"14","Omega America Cup Seamaster Professional 300 2533.50 Ss Black Dial Men",3008.12
"15","Tag Heuer Aquaracer Chronograph 44mm Calibre 16 500m Mens Watch | CAJ2110.BA0872",1549.99
"16","Bvlgari Ladies Watch Women B Zero1 12Pd Diamond Bz22S M Size Blue Shell",1685.27
"17","Breitling Chronomat Evolution A13356 Black Dial Mens Stainless Automatic Winding",3517.33
"18","Omega Speedmaster Co-Axial 324.30.38.50.06.001 Ss Gray Dial Men Self-Winding",4028.57
"19","Chanel Matrasse H0009 Stainless Steel Black Dial Ladies Quartz Watch",892.84
"20","Omega Speedmaster Broad Arrow Co-Axial Chronograph 321.10.42.50.01.001",4028.57
"21","Omega Seamaster Aqua Terra Co-Axial 231.13.39.21.54.001 White Dial / 11 Point",4316.3
"22","Breitling Chronomat Evolution A13356 Black Dial Mens Stainless Automatic Winding",3597.43
"23","Omega Constellation Curry Diamond Bezel 1528.46 Ss Black 4 Point Ladies Quartz",1441.71
"24","Luxury Floral Engraving Rolex / 1920 24Kgp Finished",3880.98
"25","Ladies Tag Heuer LINK Mother of Pearl WJ1313-0.BA0572",799
"26","Luxury Breitling Oh Finished Hand-Wound / Antique Vintage",551.28
"27","Luxury Rolex // Marconi / Antique 1920 Men Watch",1291.38
