,item,Brand,Size,Material,Year,Condition,Gender,ebay_price
1, Movado USED Sapphire Black Dial Men's Watch 0607179 ,Movado,,,,Good,male,599
2,U-Boat Chimera 46 B and B Chrono Limited Edition Watch,U-Boat,46,Stainlesssteel,2010,new,male,11500
3,Vtg SEIKO 6105-8000 Diver Watch 1968 Serial #8725967 Stainless Steel Japan,Sieko,,,,Good,male,899.99
4,Grand Seiko Hi-Beat 36000 Steel Auto 40mm Bracelet Mens Watch SBGH001,Sieko,,,,Good,male,3350
5,100% Authentic Rado Sintra Jubile Ceramics Quartz Swiss Watch. # 152-0332-3.,Rado Sintra,,,,Good,male,780
6,Rolex Oyster Perpetual 18k Yellow Gold/Steel Diamond Dial/Bezel 25mm Watch 67193,Rolex,,,,Good,male,2995
7, OMEGA 14K SOLID YELLOW GOLD WATCH MESH BAND keeps good time,Omega,,,,Good,male,650
8,Cartier Santos Galbee 18k Yellow Gold & Steel Bronze Dial 28mm Watch 1566,Cartier,,,,Good,male,2550
9,U-BOAT  Flightdeck 55mm Automatic Steel Chronograph w/ Leather strap U7750/55,U-Boat,,,,Good,male,900
10,ROLEX Oyster Perpetual Datejust Diamond & Sapphire 14K Gold Steel Jubilee Watch,Rolex,,,,Good,male,2750
11,Jaeger LeCoultre SS Geophysic Universal Time Q8108420 503.8.T2.S 41.6mm BNIB,Jaeger-LeCoultre,,,,Good,male,14300
12,Rolex Datejust 179173 Index Silver Dial Steel 18K Gold Ladies Automatic Watch,Rolex,,,,Good,female,5999
13,CHOPARD HAPPY SPORT Steel Ladies Watch 7 Floating DIAMONDS & Diamond Bezel,Chopard,,,,Good,female,3850
14,Breitling Transocean Unitime AB0510 Mens Automatic Chronograph Watch 46mm GMT,Brietling,,,,Good,male,6000
15,mint OMEGA SEAMASTER 46mm Planet Ocean 8500 ~ ORANGE Bezel ~ 232.30.46.21.01.002,Omega,,,,Good,male,3750
16,Chronograph Watch Men's Jaguar Special Edition J688/1,Chronograph,,,,Good,male,569.09
17,Movado Mens Vintage Kingmatic Sub-Sea 14k Yellow Gold Automatic Bracelet Watch,Movado,,,,Vintage,male,5000
